Packet;Channel 1;Channel 2;Channel 3;Channel 4;Channel 5;Channel 6
787221;-215606869;-215570931;-9244377;875861;22858146;27317785
787222;-133077666;-128872763;-9219946;859878;22847185;79264388
787223;368045307;359431586;-9227985;862421;22857954;25112187
787224;-436896768;-431189849;-9253521;849105;22837410;81108556
787225;222326771;220209228;-9222216;862254;22855112;23591086
787226;76842679;71686506;-9254417;863910;22849868;82270579
787227;-372636582;-365600315;-9265757;834150;22829235;22813747
787228;420882504;413355114;-9224601;873177;22846378;82708198
787229;-273394577;-272125469;-9270438;865476;22834811;22736977
787230;-66161621;-62986120;-9214097;885132;22869452;82415833
787231;329356411;320992499;-9271773;857147;22834321;23354705
787232;-447999325;-441651242;-9231714;873642;22852612;81422212
787233;277126617;273801655;-9218978;866922;22861393;24714555
787234;9085000;5001651;-9245312;854382;22845815;79713476
787235;-329678788;-322984627;-9226598;842995;22849386;26811707
787236;426763182;418682350;-9241241;861090;22862882;77355822
787237;-324809489;-322360814;-9268633;835157;22842201;29491409
787238;2033403;4092206;-9230199;846583;22855355;74383462
787239;282316953;274404352;-9245346;863159;22867784;32709248
787240;-448538717;-441703313;-9242039;848981;22857301;70901034
787241;324866124;320387793;-9243328;858734;22861239;36421661
787242;-59226440;-62140744;-9243246;863035;22888392;66971891
787243;-279013145;-272869998;-9229000;842833;22873100;40569275
